Date;GDP YOY;CPI YOY;InflationTrend;GrowthTrend;RecessionFlag;Regime
1987-07-31;3.4;3.9;Rising;Rising;0;Reflation / Overheating
1987-08-31;3.4;4.3;Rising;Rising;0;Reflation / Overheating
1987-09-30;3.3;4.4;Rising;Rising;0;Reflation / Overheating
1987-10-31;3.3;4.5;Rising;Rising;0;Reflation / Overheating
1987-11-30;3.3;4.5;Rising;Rising;0;Reflation / Overheating
1987-12-31;4.5;4.4;Rising;Rising;0;Reflation / Overheating
1988-01-31;4.5;4.0;Rising;Rising;0;Reflation / Overheating
1988-02-29;4.5;3.9;Falling;Rising;0;Disinflationary Expansion
1988-03-31;4.2;3.9;Falling;Rising;0;Disinflationary Expansion
1988-04-30;4.2;3.9;Falling;Rising;0;Disinflationary Expansion
1988-05-31;4.2;3.9;Falling;Rising;0;Disinflationary Expansion
1988-06-30;4.5;4.0;Falling;Flat;0;Neutral/Transition
1988-07-31;4.5;4.1;Rising;Flat;0;Neutral/Transition
1988-08-31;4.5;4.0;Rising;Flat;0;Neutral/Transition
1988-09-30;4.2;4.2;Rising;Flat;0;Neutral/Transition
1988-10-31;4.2;4.2;Rising;Flat;0;Neutral/Transition
1988-11-30;4.2;4.2;Rising;Flat;0;Neutral/Transition
1988-12-31;3.8;4.4;Rising;Falling;0;High Inflation / Slowing Growth
1989-01-31;3.8;4.7;Rising;Falling;0;High Inflation / Slowing Growth
1989-02-28;3.8;4.8;Rising;Falling;0;High Inflation / Slowing Growth
1989-03-31;4.3;5.0;Rising;Rising;0;Reflation / Overheating
1989-04-30;4.3;5.1;Rising;Rising;0;Reflation / Overheating
1989-05-31;4.3;5.4;Rising;Rising;0;Reflation / Overheating
1989-06-30;3.7;5.2;Rising;Falling;0;High Inflation / Slowing Growth
1989-07-31;3.7;5.0;Rising;Falling;0;High Inflation / Slowing Growth
1989-08-31;3.7;4.7;Falling;Falling;0;Recessionary Pressure
1989-09-30;3.9;4.3;Falling;Falling;0;Recessionary Pressure
1989-10-31;3.9;4.5;Falling;Falling;0;Recessionary Pressure
1989-11-30;3.9;4.7;Falling;Falling;0;Recessionary Pressure
1989-12-31;2.7;4.6;Falling;Falling;0;Recessionary Pressure
1990-01-31;2.7;5.2;Rising;Falling;0;High Inflation / Slowing Growth
1990-02-28;2.7;5.3;Rising;Falling;0;High Inflation / Slowing Growth
1990-03-31;2.8;5.2;Rising;Falling;0;High Inflation / Slowing Growth
1990-04-30;2.8;4.7;Rising;Falling;0;High Inflation / Slowing Growth
1990-05-31;2.8;4.4;Falling;Falling;0;Recessionary Pressure
1990-06-30;2.4;4.7;Rising;Falling;0;High Inflation / Slowing Growth
1990-07-31;2.4;4.8;Falling;Falling;0;Recessionary Pressure
1990-08-31;2.4;5.6;Rising;Falling;0;High Inflation / Slowing Growth
1990-09-30;1.7;6.2;Rising;Falling;0;High Inflation / Slowing Growth
1990-10-31;1.7;6.3;Rising;Falling;0;High Inflation / Slowing Growth
1990-11-30;1.7;6.3;Rising;Falling;0;High Inflation / Slowing Growth
1990-12-31;0.6;6.1;Rising;Falling;0;High Inflation / Slowing Growth
1991-01-31;0.6;5.7;Rising;Falling;0;High Inflation / Slowing Growth
1991-02-28;0.6;5.3;Falling;Falling;0;Recessionary Pressure
1991-03-31;-1.0;4.9;Falling;Falling;1;Recessionary Pressure
1991-04-30;-1.0;4.9;Falling;Falling;1;Recessionary Pressure
1991-05-31;-1.0;5.0;Falling;Falling;1;Recessionary Pressure
1991-06-30;-0.5;4.7;Falling;Falling;1;Recessionary Pressure
1991-07-31;-0.5;4.4;Falling;Falling;1;Recessionary Pressure
1991-08-31;-0.5;3.8;Falling;Falling;1;Recessionary Pressure
1991-09-30;-0.1;3.4;Falling;Rising;1;Recessionary Pressure
1991-10-31;-0.1;2.9;Falling;Rising;1;Recessionary Pressure
1991-11-30;-0.1;3.0;Falling;Rising;1;Recessionary Pressure
1991-12-31;1.2;3.1;Falling;Rising;0;Disinflationary Expansion
1992-01-31;1.2;2.6;Falling;Rising;0;Disinflationary Expansion
1992-02-29;1.2;2.8;Falling;Rising;0;Disinflationary Expansion
1992-03-31;2.9;3.2;Falling;Rising;0;Disinflationary Expansion
1992-04-30;2.9;3.2;Rising;Rising;0;Reflation / Overheating
1992-05-31;2.9;3.0;Flat;Rising;0;Neutral/Transition
1992-06-30;3.2;3.1;Flat;Rising;0;Neutral/Transition
1992-07-31;3.2;3.2;Rising;Rising;0;Reflation / Overheating
1992-08-31;3.2;3.1;Rising;Rising;0;Reflation / Overheating
1992-09-30;3.7;3.0;Falling;Rising;0;Disinflationary Expansion
1992-10-31;3.7;3.2;Flat;Rising;0;Neutral/Transition
1992-11-30;3.7;3.0;Flat;Rising;0;Neutral/Transition
1992-12-31;4.4;2.9;Falling;Rising;0;Disinflationary Expansion
1993-01-31;4.4;3.3;Rising;Rising;0;Reflation / Overheating
1993-02-28;4.4;3.2;Rising;Rising;0;Reflation / Overheating
1993-03-31;3.3;3.1;Rising;Falling;0;High Inflation / Slowing Growth
1993-04-30;3.3;3.2;Flat;Falling;0;Neutral/Transition
1993-05-31;3.3;3.2;Rising;Falling;0;High Inflation / Slowing Growth
1993-06-30;2.8;3.0;Rising;Falling;0;High Inflation / Slowing Growth
1993-07-31;2.8;2.8;Falling;Falling;0;Recessionary Pressure
1993-08-31;2.8;2.8;Falling;Falling;0;Recessionary Pressure
1993-09-30;2.3;2.7;Falling;Falling;0;Recessionary Pressure
1993-10-31;2.3;2.8;Falling;Falling;0;Recessionary Pressure
1993-11-30;2.3;2.7;Falling;Falling;0;Recessionary Pressure
1993-12-31;2.6;2.7;Falling;Falling;0;Recessionary Pressure
1994-01-31;2.6;2.5;Falling;Falling;0;Recessionary Pressure
1994-02-28;2.6;2.5;Falling;Falling;0;Recessionary Pressure
1994-03-31;3.4;2.5;Falling;Rising;0;Disinflationary Expansion
1994-04-30;3.4;2.4;Falling;Rising;0;Disinflationary Expansion
1994-05-31;3.4;2.3;Falling;Rising;0;Disinflationary Expansion
1994-06-30;4.2;2.5;Falling;Rising;0;Disinflationary Expansion
1994-07-31;4.2;2.8;Rising;Rising;0;Reflation / Overheating
1994-08-31;4.2;2.9;Rising;Rising;0;Reflation / Overheating
1994-09-30;4.3;3.0;Rising;Rising;0;Reflation / Overheating
1994-10-31;4.3;2.6;Rising;Rising;0;Reflation / Overheating
1994-11-30;4.3;2.7;Rising;Rising;0;Reflation / Overheating
1994-12-31;4.1;2.7;Rising;Falling;0;High Inflation / Slowing Growth
1995-01-31;4.1;2.8;Flat;Falling;0;Neutral/Transition
1995-02-28;4.1;2.9;Flat;Falling;0;Neutral/Transition
1995-03-31;3.5;2.9;Falling;Falling;0;Recessionary Pressure
1995-04-30;3.5;3.1;Rising;Falling;0;High Inflation / Slowing Growth
1995-05-31;3.5;3.2;Rising;Falling;0;High Inflation / Slowing Growth
1995-06-30;2.4;3.0;Rising;Falling;0;High Inflation / Slowing Growth
1995-07-31;2.4;2.8;Flat;Falling;0;Neutral/Transition
1995-08-31;2.4;2.6;Falling;Falling;0;Recessionary Pressure
1995-09-30;2.7;2.5;Falling;Falling;0;Recessionary Pressure
1995-10-31;2.7;2.8;Falling;Falling;0;Recessionary Pressure
1995-11-30;2.7;2.6;Falling;Falling;0;Recessionary Pressure
1995-12-31;2.2;2.5;Falling;Falling;0;Recessionary Pressure
1996-01-31;2.2;2.7;Falling;Falling;0;Recessionary Pressure
1996-02-29;2.2;2.7;Rising;Falling;0;High Inflation / Slowing Growth
1996-03-31;2.6;2.8;Rising;Falling;0;High Inflation / Slowing Growth
1996-04-30;2.6;2.9;Rising;Falling;0;High Inflation / Slowing Growth
1996-05-31;2.6;2.9;Rising;Falling;0;High Inflation / Slowing Growth
1996-06-30;4.0;2.8;Rising;Rising;0;Reflation / Overheating
1996-07-31;4.0;3.0;Rising;Rising;0;Reflation / Overheating
1996-08-31;4.0;2.9;Rising;Rising;0;Reflation / Overheating
1996-09-30;4.1;3.0;Rising;Rising;0;Reflation / Overheating
1996-10-31;4.1;3.0;Rising;Rising;0;Reflation / Overheating
1996-11-30;4.1;3.3;Rising;Rising;0;Reflation / Overheating
1996-12-31;4.4;3.3;Rising;Rising;0;Reflation / Overheating
1997-01-31;4.4;3.0;Flat;Rising;0;Neutral/Transition
1997-02-28;4.4;3.0;Rising;Rising;0;Reflation / Overheating
1997-03-31;4.3;2.8;Falling;Rising;0;Disinflationary Expansion
1997-04-30;4.3;2.5;Falling;Rising;0;Disinflationary Expansion
1997-05-31;4.3;2.2;Falling;Rising;0;Disinflationary Expansion
1997-06-30;4.3;2.3;Falling;Falling;0;Recessionary Pressure
1997-07-31;4.3;2.2;Falling;Falling;0;Recessionary Pressure
1997-08-31;4.3;2.2;Falling;Falling;0;Recessionary Pressure
1997-09-30;4.7;2.2;Falling;Rising;0;Disinflationary Expansion
1997-10-31;4.7;2.1;Falling;Rising;0;Disinflationary Expansion
1997-11-30;4.7;1.8;Falling;Rising;0;Disinflationary Expansion
1997-12-31;4.5;1.7;Falling;Rising;0;Disinflationary Expansion
1998-01-31;4.5;1.6;Falling;Rising;0;Disinflationary Expansion
1998-02-28;4.5;1.4;Falling;Rising;0;Disinflationary Expansion
1998-03-31;4.9;1.4;Falling;Rising;0;Disinflationary Expansion
1998-04-30;4.9;1.4;Falling;Rising;0;Disinflationary Expansion
1998-05-31;4.9;1.7;Falling;Rising;0;Disinflationary Expansion
1998-06-30;4.1;1.7;Flat;Falling;0;Neutral/Transition
1998-07-31;4.1;1.7;Rising;Falling;0;High Inflation / Slowing Growth
1998-08-31;4.1;1.6;Rising;Falling;0;High Inflation / Slowing Growth
1998-09-30;4.1;1.5;Rising;Falling;0;High Inflation / Slowing Growth
1998-10-31;4.1;1.5;Rising;Falling;0;High Inflation / Slowing Growth
1998-11-30;4.1;1.5;Falling;Falling;0;Recessionary Pressure
1998-12-31;4.9;1.6;Falling;Rising;0;Disinflationary Expansion
1999-01-31;4.9;1.7;Flat;Rising;0;Neutral/Transition
1999-02-28;4.9;1.6;Flat;Rising;0;Neutral/Transition
1999-03-31;4.8;1.7;Rising;Rising;0;Reflation / Overheating
1999-04-30;4.8;2.3;Rising;Rising;0;Reflation / Overheating
1999-05-31;4.8;2.1;Rising;Rising;0;Reflation / Overheating
1999-06-30;4.7;2.0;Rising;Falling;0;High Inflation / Slowing Growth
1999-07-31;4.7;2.1;Rising;Falling;0;High Inflation / Slowing Growth
1999-08-31;4.7;2.3;Rising;Falling;0;High Inflation / Slowing Growth
1999-09-30;4.8;2.6;Rising;Flat;0;Neutral/Transition
1999-10-31;4.8;2.6;Rising;Flat;0;Neutral/Transition
1999-11-30;4.8;2.6;Rising;Flat;0;Neutral/Transition
1999-12-31;4.8;2.7;Rising;Rising;0;Reflation / Overheating
2000-01-31;4.8;2.7;Rising;Rising;0;Reflation / Overheating
2000-02-29;4.8;3.2;Rising;Rising;0;Reflation / Overheating
2000-03-31;4.2;3.8;Rising;Falling;0;High Inflation / Slowing Growth
2000-04-30;4.2;3.1;Rising;Falling;0;High Inflation / Slowing Growth
2000-05-31;4.2;3.2;Rising;Falling;0;High Inflation / Slowing Growth
2000-06-30;5.2;3.7;Rising;Rising;0;Reflation / Overheating
2000-07-31;5.2;3.7;Rising;Rising;0;Reflation / Overheating
2000-08-31;5.2;3.4;Rising;Rising;0;Reflation / Overheating
2000-09-30;4.0;3.5;Falling;Falling;0;Recessionary Pressure
2000-10-31;4.0;3.4;Rising;Falling;0;High Inflation / Slowing Growth
2000-11-30;4.0;3.4;Rising;Falling;0;High Inflation / Slowing Growth
2000-12-31;2.9;3.4;Falling;Falling;0;Recessionary Pressure
2001-01-31;2.9;3.7;Flat;Falling;0;Neutral/Transition
2001-02-28;2.9;3.5;Rising;Falling;0;High Inflation / Slowing Growth
2001-03-31;2.2;2.9;Falling;Falling;0;Recessionary Pressure
2001-04-30;2.2;3.3;Falling;Falling;0;Recessionary Pressure
2001-05-31;2.2;3.6;Rising;Falling;0;High Inflation / Slowing Growth
2001-06-30;1.0;3.2;Falling;Falling;0;Recessionary Pressure
2001-07-31;1.0;2.7;Falling;Falling;0;Recessionary Pressure
2001-08-31;1.0;2.7;Falling;Falling;0;Recessionary Pressure
2001-09-30;0.5;2.6;Falling;Falling;0;Recessionary Pressure
2001-10-31;0.5;2.1;Falling;Falling;0;Recessionary Pressure
2001-11-30;0.5;1.9;Falling;Falling;0;Recessionary Pressure
2001-12-31;0.2;1.6;Falling;Falling;0;Recessionary Pressure
2002-01-31;0.2;1.1;Falling;Falling;0;Recessionary Pressure
2002-02-28;0.2;1.1;Falling;Falling;0;Recessionary Pressure
2002-03-31;1.3;1.5;Falling;Rising;0;Disinflationary Expansion
2002-04-30;1.3;1.6;Falling;Rising;0;Disinflationary Expansion
2002-05-31;1.3;1.2;Falling;Rising;0;Disinflationary Expansion
2002-06-30;1.3;1.1;Falling;Rising;0;Disinflationary Expansion
2002-07-31;1.3;1.5;Rising;Rising;0;Reflation / Overheating
2002-08-31;1.3;1.8;Rising;Rising;0;Reflation / Overheating
2002-09-30;2.1;1.5;Flat;Rising;0;Neutral/Transition
2002-10-31;2.1;2.0;Rising;Rising;0;Reflation / Overheating
2002-11-30;2.1;2.2;Rising;Rising;0;Reflation / Overheating
2002-12-31;2.0;2.4;Rising;Rising;0;Reflation / Overheating
2003-01-31;2.0;2.6;Rising;Rising;0;Reflation / Overheating
2003-02-28;2.0;3.0;Rising;Rising;0;Reflation / Overheating
2003-03-31;1.7;3.0;Rising;Falling;0;High Inflation / Slowing Growth
2003-04-30;1.7;2.2;Rising;Falling;0;High Inflation / Slowing Growth
